ticker,filing_date,start_date,start_price,return_1m,return_3m,negative_density,positive_density,word_count,negative_density_change,positive_density_change,momentum_3m
HSY,2025-02-18,2025-02-18,156.92642211914062,0.0267502112437076,-0.0314048654603654,0.0071805654974946,0.0104912312097351,44704,4.070829463868799e-05,5.7755668719650446e-05,-0.12971933472569153
HSY,2024-02-20,2024-02-20,180.8090057373047,0.0230408053538804,0.0822295524899408,0.0071398572028559,0.0104334755410154,45239,0.0003259859405336,0.0002946224256011,-0.0169033920619317
HSY,2023-02-17,2023-02-17,219.80430603027344,0.0103868110553939,0.1096196172257106,0.0068138712623223,0.0101388531154143,42707,-0.0002519861522985,0.0001062414658083,0.06364603196502205
HSY,2022-02-18,2022-02-18,181.7321014404297,0.0281850664085083,0.026121085693151,0.0070658574146208,0.0100326116496059,44156,-0.0002859012639004,0.0004982996133985,0.12671281446046434
KMB,2026-02-12,2026-02-12,105.49018096923828,-0.0624572885905923,-0.0960277964351716,0.0113215608088863,0.0081885502705781,42132,-0.0002130148534396,-0.0019989216647608,0.0570478347405754
KMB,2025-02-13,2025-02-13,126.7091827392578,0.0428410938181336,0.0237595967154677,0.011534575662326,0.010187471935339,35632,0.0003112960348926,0.0013361225384456,0.013603933117260603
KMB,2024-02-08,2024-02-08,108.61214447021484,0.0645338079606709,0.1474931425664114,0.0112232796274333,0.0088513493968933,34571,-1.373940605670608e-05,-0.0002392727425593,0.015264994506645202
KMB,2023-02-09,2023-02-09,111.56647491455078,-0.031076626583669,0.1310927584384338,0.0112370190334901,0.0090906221394526,31681,-0.0003439128275387,-0.0002010557490471,0.05243681486392693
KMB,2022-02-10,2022-02-10,109.9368133544922,-0.0821384964702098,0.0757443733145828,0.0115809318610288,0.0092916778884998,29704,0.0001268519939099,0.0002253065133181,-0.012711888619953537
KMB,2021-02-11,2021-02-11,107.18873596191406,0.0253074107854247,0.0214887537882286,0.0114540798671188,0.0090663713751816,28898,7.174915705703e-05,0.0013744057000227,-0.019881226674419716
KMB,2020-02-13,2020-02-13,114.04539489746094,-0.0625305806909454,-0.0494471626537531,0.0113823307100618,0.0076919656751589,22491,5.654789860277433e-05,-0.0034117429635263,0.10680706722662303
KMB,2019-02-07,2019-02-07,86.5573501586914,0.0465973189649053,0.1250097287453906,0.011325782811459,0.0111037086386853,22515,-0.0006981715255859,0.0003429712942481,0.07779345187199871
PEP,2026-02-03,2026-02-03,159.7274627685547,-0.0132024582965502,-0.0394527115708701,0.0127211860353897,0.0083787661406025,52275,-0.000427232276368,-0.0002083328972729,0.07274966270116279
PEP,2025-02-04,2025-02-04,135.33065795898438,0.0774968626783312,-0.0808004370263714,0.0131484183117578,0.0085870990378755,54151,-0.0008553654920778,-0.0009466027835437,-0.08749108549602469
PEP,2024-02-09,2024-02-09,153.22886657714844,-0.0111789406241202,0.080467579837377,0.0140037838038357,0.0095337018214192,53914,0.0013281050231517,-0.0005762051214827,0.046512401591739305
PEP,2023-02-09,2023-02-09,153.4923858642578,0.0121765212350748,0.1382107282660571,0.0126756787806839,0.010109906942902,52226,0.0022485008459379,-0.0003370569082287,-0.04693889730637957
PEP,2022-02-10,2022-02-10,145.6770782470703,-0.0680326461677915,0.0187133402806487,0.010427177934746,0.0104469638511307,50541,0.0001905544456323,0.0005253133924512,0.055241847804616384
PEP,2021-02-11,2021-02-11,113.46373748779295,-0.0065033974431948,0.0931224813690823,0.0102366234891137,0.0099216504586794,50798,-0.000775651576347,-0.0012577586296972,-0.02144400263627333
